field,max_abs_diff,signed_diff_fp32_minus_original,original_value,fp32_value,sample_idx,layer,alpha,location_key
h_post_max_variation.value,9.761000000002573e-05,-9.761000000002573e-05,0.4069874,0.40688979,,1,,
unit_summary.h_pre_orig_mean,4.39999999999989e-05,4.39999999999989e-05,0.02504,0.025084,,31,,
unit_summary.h_pre_unit_mean,9.999999999177334e-07,-9.999999999177334e-07,0.999991,0.99999,,31,,
unit_summary.h_pre_change,4.4000000000044004e-05,-4.4000000000044004e-05,0.974951,0.974907,,31,,
unit_summary.h_post_orig_mean,0.00047199999999991693,-0.00047199999999991693,0.577301,0.576829,,21,,
unit_summary.h_post_unit_mean,0.00043999999999999595,-0.00043999999999999595,0.607888,0.607448,,21,,
unit_summary.h_post_change,6.100000000000029e-05,-6.100000000000029e-05,0.015663,0.015602,,2,,
unit_summary.h_norm_mean,0.0022999999999981924,0.0022999999999981924,27.1412,27.1435,,28,,
unit_summary.h_norm_std,0.0007999999999999674,0.0007999999999999674,0.4162,0.417,,30,,
alpha_summary.h_pre,6.899999999998574e-05,-6.899999999998574e-05,0.60424,0.604171,,,4.0,L24_h_pre
alpha_summary.h_post,9.799999999999393e-05,9.799999999999393e-05,0.03722,0.037318,,,0.25,L31_h_post
