mode,seed,n_cal,n_test,test_accuracy,hpre_layer,hpre_sign,hpre_cal_auc,logit_layer,logit_sign,logit_cal_auc,hnorm_layer,hnorm_sign,hnorm_cal_auc,logit_base_auroc,logit_plus_hpre_auroc,logit_delta,full_base_auroc,full_plus_hpre_auroc,full_delta
dynamic_cal_selected_layers,0,700,300,0.6266666666666667,30,-1,0.6764852198046764,13,1,0.7153317798200367,14,1,0.6942808018921443,0.742211246200608,0.7432560790273556,0.0010448328267476104,0.7396466565349544,0.7532769756838906,0.013630319148936199
fixed_seed42_layers,0,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.742211246200608,0.7432560790273556,0.0010448328267476104,0.7401690729483283,0.7550341945288753,0.01486512158054698
dynamic_cal_selected_layers,1,700,300,0.6266666666666667,0,-1,0.692880021644455,14,1,0.7456078338962636,13,1,0.711456724181569,0.6709251519756838,0.6693104103343466,-0.0016147416413372362,0.6687405015197567,0.6707351823708207,0.0019946808510640235
fixed_seed42_layers,1,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.671637537993921,0.6727298632218844,0.001092325227963431,0.6698328267477204,0.6755319148936171,0.005699088145896702
dynamic_cal_selected_layers,2,700,300,0.6266666666666667,0,-1,0.6774321647073198,13,1,0.712704771380445,13,1,0.691409420574451,0.7506648936170213,0.7484327507598783,-0.0022321428571430157,0.7463905775075986,0.7504749240121581,0.004084346504559466
fixed_seed42_layers,2,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7506648936170213,0.7520421732522796,0.001377279635258355,0.7463905775075986,0.759973404255319,0.013582826747720378
dynamic_cal_selected_layers,3,700,300,0.6266666666666667,0,-1,0.6594009373445395,14,1,0.7028687630368566,13,1,0.678597299679697,0.7662424012158056,0.759545972644377,-0.006696428571428603,0.7617781155015199,0.7570288753799392,-0.004749240121580622
fixed_seed42_layers,3,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7700417933130699,0.767334726443769,-0.0027070668693008892,0.7644851823708205,0.770991641337386,0.0065064589665654315
dynamic_cal_selected_layers,4,700,300,0.6266666666666667,30,-1,0.7071627436092128,14,1,0.7321760532034666,13,1,0.7221043995845662,0.7026975683890577,0.7139532674772038,0.011255699088146054,0.6979483282674772,0.7163753799392096,0.01842705167173242
fixed_seed42_layers,4,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7076367781155015,0.7200797872340425,0.012443009118541015,0.702650075987842,0.7237841945288752,0.021134118541033198
dynamic_cal_selected_layers,5,700,300,0.6266666666666667,30,-1,0.7026069349531764,13,1,0.7355972734968885,13,1,0.7193813875142914,0.69723594224924,0.7035999240121581,0.006363981762918081,0.6973784194528875,0.7122910334346505,0.014912613981763023
fixed_seed42_layers,5,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.69723594224924,0.7035999240121581,0.006363981762918081,0.6973784194528875,0.7122910334346505,0.014912613981763023
dynamic_cal_selected_layers,6,700,300,0.6266666666666667,30,-1,0.674207315476658,13,1,0.7230295254802364,13,1,0.6941586154530934,0.7279160334346504,0.729483282674772,0.0015672492401216376,0.7292933130699089,0.737556990881459,0.00826367781155013
fixed_seed42_layers,6,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7279160334346504,0.729483282674772,0.0015672492401216376,0.7292933130699089,0.737556990881459,0.00826367781155013
dynamic_cal_selected_layers,7,700,300,0.6266666666666667,0,-1,0.6900915525532603,13,1,0.7285802808542577,13,1,0.7049982981174561,0.7110562310030396,0.7155205167173251,0.004464285714285476,0.7119585866261398,0.7181800911854104,0.006221504559270619
fixed_seed42_layers,7,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7110562310030396,0.7168977963525834,0.005841565349543831,0.7119585866261398,0.7247815349544072,0.01282294832826747
dynamic_cal_selected_layers,8,700,300,0.6266666666666667,0,-1,0.6909119472154583,13,1,0.7296363207917682,13,1,0.7077649482016775,0.7092990121580546,0.7090615501519757,-0.00023746200607888124,0.7073043313069909,0.7133833586626139,0.006079027355623046
fixed_seed42_layers,8,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7092990121580546,0.7113411854103343,0.002042173252279733,0.7073043313069909,0.7235467325227963,0.016242401215805446
dynamic_cal_selected_layers,9,700,300,0.6266666666666667,0,-1,0.6885336754553627,13,1,0.7282573595510522,13,1,0.7045008247584638,0.715568009118541,0.7171827507598785,0.0016147416413374582,0.7154730243161095,0.7186075227963525,0.003134498480243053
fixed_seed42_layers,9,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.715568009118541,0.7186550151975685,0.0030870060790274545,0.7154730243161095,0.7262537993920973,0.010780775075987847
dynamic_cal_selected_layers,10,700,300,0.6266666666666667,0,-1,0.6728021714275739,14,1,0.7132284275478055,14,1,0.6888696881627523,0.7465330547112461,0.7452982522796353,-0.001234802431610782,0.7462955927051672,0.7472929331306991,0.0009973404255319007
